fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
马鞍山市住宅小区物业管理实施办法第一条,为了规范本市住宅小区物业管理活动，维护业主、物业服务企业和其他当事人的合法权益，营造和谐、安全、文明、整洁的居住和工作环境，根据《中华人民共和国民法典》、国务院《物业管理条例》、《安徽省物业管理条例》等法律法规，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第二条,本办法适用于本市行政区域内住宅小区的物业管理活动及其监督管理。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第三条,物业管理遵循党建引领、业主自治、专业服务与依法监管相结合的原则。建立健全社区党组织领导下的小区（网格）党支部、业主委员会、物业服务企业等共同参与的协调运行机制，提升社区治理水平。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第四条,市、县区人民政府和园区管委会应当加强物业管理活动的组织领导，将物业管理纳入社会基层治理体系，实现住宅小区物业管理全覆盖，建立联席会议制度，统筹解决物业管理重大问题。乡镇人民政府、街道办事处应当配备物业管理工作人员，落实工作经费。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第五条,市住房城乡建设部门负责全市物业管理活动的监督管理（以下简称物业管理行政主管部门），履行下列职责：（一）研究制定市物业管理相关政策并组织实施；（二）指导、监督县区（园区）物业管理部门开展工作；（三）负责市辖区住宅专项维修资金的归集、使用和监管；（四）负责建立物业服务企业信用管理体系；（五）负责市辖区（园区）前期物业管理区域及相关事项的备案；（六）负责市辖区物业承接查验；（七）指导市物业服务行业协会开展工作；（八）法律、法规、规章规定的其他职责。发展改革、公安、民政、财政、生态环境、自然资源和规划、城市管理、市场监管、人防、消防等部门，按照各自职责，做好物业管理活动的相关工作。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第六条,县区（园区）物业管理行政主管部门负责本行政区域内物业管理活动的监督管理，履行下列职责：（一）指导和监督乡镇人民政府、街道办事处开展物业管理工作；（二）负责辖区内物业管理区域划分；（三）负责辖区内物业服务合同和业主委员会成立等相关材料的管理；（四）采集、核查物业服务企业信用信息，建立物业管理档案；（五）监督、规范物业服务企业行为；（六）建立物业管理纠纷调解机制，指导属地乡镇、街道处理投诉，调处重大矛盾纠纷；（七）法律、法规、规章规定的其他职责。县物业管理行政主管部门负责辖区前期物业管理区域和临时管理规约备案，专项维修资金的归集、使用、监管工作。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第七条,乡镇人民政府、街道办事处指导、监督辖区内物业管理活动，履行下列职责：（一）组织、指导业主大会成立、业主委员会选举和换届工作，监督业主大会和业主委员会履行职责；（二）协助县区物业管理行政主管部门做好物业服务企业信用信息征集；（三）召集物业管理联席会议，调解物业纠纷，处理物业投诉；（四）协调和监管老旧小区物业管理；（五）负责业主委员会、物业服务企业报送资料的管理；（六）指导小区业主委员会开展物业选聘，监督物业服务有序交接；（七）突发公共事件期间，指导物业服务企业开展应对工作；（八）法律、法规、规章规定的其他职责。居民委员会、村民委员会协助乡镇人民政府、街道办事处开展工作。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第八条,物业服务行业协会应当发挥行业自律作用，开展业务培训，规范行业行为，维护市场秩序和公平竞争，促进行业健康发展。鼓励本市物业服务企业加入物业服务行业协会。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第十一条,筹备组业主代表由业主推荐或自荐产生，根据推荐的人数（含本人自荐）顺序确定。推荐人数相同的，由乡镇人民政府、街道办事处确定。筹备组业主代表应当符合《安徽省物业管理条例》第二十六条规定的条件。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第十二条,建设单位应当委派一人作为筹备组代表，逾期未委派的，视为弃权，增补一名业主代表。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第十三条,筹备组应当将拟定的成员名单及基本情况、推荐人数、工作职责和产生过程等，在物业管理区域和物业服务用房出入口、小区公示栏、楼道或电梯口区域等显著位置公示不少于15日。公示期间，业主提出书面异议的，乡镇人民政府、街道办事处在7日内复核。异议成立的，从落选人选中依次递补或重新组织推荐，并公示。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第十四条,筹备组会议由组长召集和主持，过半数成员出席方为有效，作出的决定应当经全体筹备组成员半数以上同意。筹备组成员不得委托代理人参加会议。,无对应案由,,,,,,,,,
马鞍山市住宅小区物业管理实施办法第十五条,筹备组自成立之日起3个月内，组织召开首次业主大会会议，并于会议召开15日前，在显著位置公告以下事项，公告期10日：（一）会议的时间、地点、形式和内容；（二）业主投票权数和业主专有部分面积；（三）管理规约草案、业主大会议事规则草案、业主委员会工作规则草案；（四）业主委员会委员候选人产生办法及名单；（五）其他事项。业主可以在公告期内以书面形式提出建议、异议，筹备组在会议召开前复核、答复。,无对应案由,,,,,,,,,
