fullClauseName,text,cause_of_action_1
马鞍山市城市公厕管理办法第一条,为了提升城市公厕建设和管理水平，满足人民日益增长的美好生活需要，根据《安徽省城市市容和环境卫生管理条例》等有关法律法规，结合本市实际，制定本办法。,无对应案由
马鞍山市城市公厕管理办法第二条,本办法适用于本市行政区域内实施城市化管理的地区，包括城区、建制镇的城区和未设镇建制的城市型居民区。,无对应案由
马鞍山市城市公厕管理办法第三条,本办法所称城市公厕，是指供社会公众使用的厕所，包括市政公厕、社会公厕、旅游公厕和共享公厕等。（一）市政公厕，是指由公共财政投资建设或者由相关单位按照规划配套建设后，由城市管理部门维护和保洁的厕所；（二）社会公厕，是指在公交换乘枢纽、客运站、火车站、广场、文体场馆、医院、公园、公共绿地、商业街区、加油加气站、集贸市场等对外开放区域的公共场所，由相关单位自行配套建设的厕所，以及居住区内设置的非城市管理部门维护和保洁的公共厕所；（三）旅游公厕，是指在景区、度假区、景区沿线及其他旅游活动场所，为旅游者服务的公共厕所；（四）共享公厕，是指有关单位和城市管理部门达成协议，将内部符合条件的或者改造升级后符合条件的厕所开放，供社会公众使用的厕所。,无对应案由
马鞍山市城市公厕管理办法第四条,城市公厕建设和管理应当遵循科学规划、经济实用、卫生安全、方便群众、节能环保的原则。,无对应案由
马鞍山市城市公厕管理办法第五条,城市管理部门是城市公厕的主管部门，负责城市公厕的监督管理。发展改革、自然资源和规划、文化和旅游、财政、住房和城乡建设、卫生健康、市场监管、交通运输、生态环境、经济和信息化等部门按照各自职责，做好城市公厕管理相关工作。开发区（园区）管委会按照职责，做好本开发园区范围内的城市公厕管理相关工作。,无对应案由
马鞍山市城市公厕管理办法第六条,市、县人民政府应当统筹协调城市公厕的管理工作，保障市政公厕的建设、维护和保洁资金。市政公厕的建设、维护和保洁可以通过政企合作等多种方式引入社会力量参与。,无对应案由
马鞍山市城市公厕管理办法第七条,城市管理部门应当会同自然资源和规划部门编制包含城市公厕建设在内的环卫设施建设专项规划，纳入国土空间详细规划，并且同步做好用地保障工作。涉及住宅、商业用地的，自然资源和规划部门应当在土地招拍挂时，根据控制性详细规划明确配套公厕规划条件。,无对应案由
马鞍山市城市公厕管理办法第八条,城市公厕按照平均每平方千米规划建设用地不低于4座，服务半径按照不超过300米的覆盖标准设置。下列区域和场所应当设置城市公厕：（一）城市主干道及行人交通量较大的道路沿线；（二）客运站、火车站、轨道交通车站、大型停车场等人流密集场所；（三）公园绿地、大型广场、旅游景点、集贸市场、商场、医院、体育场馆、展览馆、文化及娱乐场所等公共场所；（四）居住区；（五）其他按照规定应当设置公厕的场所。,无对应案由
马鞍山市城市公厕管理办法第九条,任何单位和个人不得擅自占用环卫设施建设专项规划中的城市公厕用地或者改变其使用性质。建设单位经批准使用的土地含有城市公厕规划用地的，建设单位应当按照环卫设施建设专项规划和城市管理部门的要求修建公厕，并向社会开放。,无对应案由
马鞍山市城市公厕管理办法第十条,按照规划配套建设的城市公厕，应当与建设项目主体工程同时设计、同时施工、同时验收。建设单位在组织建设项目主体工程竣工验收时应当通知城市管理部门参加配套建设的城市公厕的竣工验收。任何单位和个人不得阻挠、妨碍经批准设置的城市公厕的建设。,无对应案由
马鞍山市城市公厕管理办法第十一条,城市公厕应当修建在明显易找、便于污水排放和粪渣清运的地点。新修建的公厕外观应当与周围环境相协调。,无对应案由
马鞍山市城市公厕管理办法第十二条,新建、扩建、改建及附属配建的市政公厕、旅游公厕应当达到或者高于国家规定的城市二类公厕设计标准，并符合以下要求：（一）采用节电、节水等有利于节约资源、保护环境的技术、设备和材料；（二）方便老年人、残疾人、儿童和孕妇使用，设置无障碍设施和第三卫生间；（三）蹲位台面、过道地面铺装应当采用防滑材料，独立式公厕的地面在冬季雨雪天气时应当采取防滑措施；（四）男女厕位的比例达到二比三，在人流密集的场所，男女厕位的比例达到一比二。本办法施行前已经建成的市政公厕、旅游公厕，未达到本办法规定建设标准的，应当逐步改造达到标准。商业街、重要公共设施、重要交通客运设施、公共绿地、城市更新及其他环境要求高的区域的城市公厕，应当逐步达到国家规定的城市一类公厕设计标准。鼓励人流密集场所的城市公厕整合便民服务措施，向便民服务综合体转变。禁止新建土厕、旱厕、简易厕所等不符合标准的城市公厕。,无对应案由
马鞍山市城市公厕管理办法第十三条,大型广场、减灾避险等场所应当预留供水、排污管道接口，储备移动环保公厕设备材料。节假日、重大活动等期间，城市管理部门应当在人流密集等有需要的场所，设置移动环保公厕。,无对应案由
马鞍山市城市公厕管理办法第十四条,任何单位和个人不得侵占、损坏或者擅自拆除、迁移按照规划建设的城市公厕。经批准拆除城市公厕的，建设单位应当按照先建设后拆除的原则负责重建，或者按照公厕造价给予补偿，由城市管理部门安排重建。,无对应案由
马鞍山市城市公厕管理办法第十五条,城市公厕产权单位应当按照有关档案管理法律法规的规定，管理好公厕档案。非单一产权城市公厕的档案，由城市管理部门指定有关单位代为管理。,无对应案由
马鞍山市城市公厕管理办法第十六条,市政公厕、共享公厕实行免费开放，提倡其他公厕免费开放。积极发展共享公厕，对共享公厕的产权单位或者管理单位，可以给予财政补贴。城市管理部门与有关单位签订协议时，应当将本办法对城市公厕的管理要求纳入协议内容。鼓励党政机关、企事业单位、餐厅、超市、商业服务窗口、宾馆饭店等单位将内部厕所对社会公众免费开放。,无对应案由
马鞍山市城市公厕管理办法第十七条,夜间使用频次较高的市政公厕原则上24小时开放，其他市政公厕按城市管理部门规定时间开放。社会公厕、旅游公厕应当在经营、服务时间内开放。共享公厕应当在服务协议约定时间内开放。城市公厕开放时间应当在醒目位置公示。,无对应案由
马鞍山市城市公厕管理办法第十八条,城市公厕的维护和保洁责任分工如下：（一）市政公厕由城市管理部门负责；（二）社会公厕、旅游公厕由产权单位或者管理单位负责；（三）共享公厕按照协议约定执行。,无对应案由
马鞍山市城市公厕管理办法第十九条,城市公厕导向牌应当规范、醒目，设置在十字路口等便于公众寻找的位置。城市管理部门及有关部门应当完善公厕电子地图，方便公众知晓公厕的具体位置和开放时间。城市公厕夜间开放的，公厕标识应当昼夜均可识别。,无对应案由
