fullClauseName,text,cause_of_action_1
马鞍山市城市地下管线建设管理办法第一条,为了加强城市地下管线管理，科学合理利用地下空间，保障地下管线建设和安全运行，根据《中华人民共和国城乡规划法》《中华人民共和国建筑法》、国务院《建设工程质量管理条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由
马鞍山市城市地下管线建设管理办法第二条,本办法适用于本市市区内地下管线的规划、建设、运行维护、信息管理等活动。法律、法规、规章另有规定的，从其规定。,无对应案由
马鞍山市城市地下管线建设管理办法第三条,本办法所称地下管线是指建设于地下的供水、排水、燃气、热力、电力、照明、通信、广播电视、交通信号、公共视频监控、工业等管线及其附属设施，以及用于集中铺设上述管线的综合管廊、管沟及其附属设施。企业事业单位和居民住宅区用地红线范围内自用的生产生活地下管线、军事专用地下管线、输油管道、危险化学品输送管道等建设管理，依照有关法律、法规执行，不适用本办法。,无对应案由
马鞍山市城市地下管线建设管理办法第四条,市、区人民政府（含开发园区管委会，下同）应当加强对地下管线建设和管理工作的组织领导，明确辖区内地下管线建设管理机构，将地下管线建设和管理工作纳入国民经济和社会发展规划，加大财政投入，建立地下管线综合管理协调机制，协调解决地下管线建设和管理工作中的重大问题。,无对应案由
马鞍山市城市地下管线建设管理办法第五条,住房和城乡建设部门负责地下管线建设管理工作的指导、协调和信息化建设的监督管理；负责供水、排水、燃气等地下管线的行业监督和管理；负责组织起草地下管线建设管理的相关配套制度、标准，以及地下管线工程档案管理等工作。自然资源和规划部门负责组织编制地下管线综合规划，办理地下管线工程规划审批手续和规划核实手续。发展改革、工业和信息化、公安、财政、审计、交通运输、水利、文化和旅游、应急管理、市场监管、城市管理、国防动员等部门，按照各自职责，做好地下管线建设和管理相关工作。,无对应案由
马鞍山市城市地下管线建设管理办法第六条,地下管线建设遵循集约、共享和安全的理念，鼓励和支持地下管线建设单位和施工单位采用新工艺、新材料和新设备。,无对应案由
马鞍山市城市地下管线建设管理办法第七条,任何单位和个人都有权对违反本办法的行为进行投诉举报。,无对应案由
马鞍山市城市地下管线建设管理办法第八条,自然资源和规划部门应当会同住房和城乡建设部门、相关行业管理部门组织编制地下管线综合规划和综合管廊规划，落实同级国土空间总体规划确定的约束性指标和要求，并与地下空间、综合交通、人防工程等专项规划相衔接。,无对应案由
马鞍山市城市地下管线建设管理办法第九条,住房和城乡建设部门应当根据城市道路年度建设计划和地下管线相关规划，组织编制地下管线年度建设计划。地下管线建设单位应当按照年度建设计划组织实施地下管线建设。需调整年度建设计划的，应当向住房和城乡建设部门提出申请，由住房和城乡建设部门对年度建设计划进行调整。,无对应案由
马鞍山市城市地下管线建设管理办法第十条,依附于道路整体建设的地下管线工程，地下管线建设单位可以委托道路建设单位一并办理项目立项、规划许可、施工许可、规划核实等手续。独立建设的地下管线工程，由建设单位依法办理上述手续。,无对应案由
马鞍山市城市地下管线建设管理办法第十一条,建设单位办理地下管线工程施工许可手续时，市住房和城乡建设部门应当就工程竣工后需移交的工程档案内容和要求告知建设单位。,无对应案由
马鞍山市城市地下管线建设管理办法第十二条,依附于道路整体建设的地下管线工程，应当按照先地下、后地上的施工原则，与城市道路主体工程同步建设。暂无条件同步建设的，经住房和城乡建设部门核实后，可以提前建设或者暂缓建设。暂缓建设的，道路建设单位应当按照规划要求预留地下管线位置。鼓励地下管线建设时同步铺设管线示踪标志或者标识。,无对应案由
马鞍山市城市地下管线建设管理办法第十三条,建设单位应当委托具有资质的测绘单位进行竣工测量，形成完整的地下管线工程测量数据和测量图等测量成果。进行开挖施工的地下管线工程，测绘单位应当在工程覆土前完成跟踪测量。采用非金属材质建设的地下管线工程，鼓励同步布设电子标志器、金属示踪线等辅助探测装置。进行非开挖施工的地下管线工程，地下管线建设单位应当在施工现场出入土两端预留测量条件，测绘单位应当及时实施测量，提供准确的实际竣工图。,无对应案由
马鞍山市城市地下管线建设管理办法第十四条,住房和城乡建设部门可以组织对地下管线测量工作进行跟踪检查。,无对应案由
马鞍山市城市地下管线建设管理办法第十五条,住房和城乡建设部门应当结合新城区建设、旧城区改造和道路建设情况，因地制宜推进综合管廊建设。在建有综合管廊的区域，各类地下管线应当按照规划要求全部纳入综合管廊。除因技术原因无法纳入综合管廊，或者与外部用户连接的支管外，不得直埋建设地下管线。,无对应案由
马鞍山市城市地下管线建设管理办法第十六条,因工程建设需要迁移或者改建（以下简称迁改）既有地下管线的，建设单位应当与地下管线单位协商一致。,无对应案由
马鞍山市城市地下管线建设管理办法第十七条,建设单位应当在会同地下管线单位完成既有地下管线现状调查工作后，及时开展地下管线综合方案设计，并按照规定办理相关手续。相应方案的设计应当遵循架空改入地敷设、节约空间资源等原则。,无对应案由
马鞍山市城市地下管线建设管理办法第十八条,对存在安全隐患的废弃地下管线，地下管线单位应当及时处置，消除安全隐患。其他的废弃地下管线应当待建设工程改建、扩建时，一并予以清除。,无对应案由
马鞍山市城市地下管线建设管理办法第十九条,住房和城乡建设部门负责建设地下管线安全运行监测平台，整合地下管线安全运行监测系统信息，实现信息共享，加强对地下管线安全运行的监测。,无对应案由
马鞍山市城市地下管线建设管理办法第二十条,地下管线单位应当在行业管理部门的监督和指导下，加强地下管线的维护管理，保障地下管线安全运行，并做好下列工作：（一）建立地下管线巡护和隐患排查制度，配备专职人员对地下管线开展日常维护管理工作；（二）制定安全应急处置预案，并定期组织演练，严格执行安全技术规程；（三）遵守相关规定，配备必要的设施设备；（四）依据地下管线设计使用年限和运行状态，对老旧地下管线进行更新改造；（五）建立地下管线信息档案制度，配合做好地下管线普查和信息更新工作；（六）落实法律、法规规定的其他职责。,无对应案由
马鞍山市城市地下管线建设管理办法第二十一条,任何单位和个人不得实施下列危害地下管线安全的行为：（一）擅自占压地下管线进行建设；（二）损坏、占用、挪移地下管线及其附属设施；（三）擅自移动、覆盖、涂改、拆除、损坏地下管线安全警示标志；（四）在地下管线保护范围内倾倒垃圾，排放污水、施工浊水、腐蚀性液体、气体，堆放易燃、易爆、有腐蚀性的物质；（五）擅自接驳地下管线；（六）其他危害地下管线安全、妨碍地下管线正常运行的行为。,无对应案由
马鞍山市城市地下管线建设管理办法第二十二条,市住房和城乡建设部门负责市地下管线综合管理信息系统建设和维护工作。地下管线行业管理部门应当按照标准和规范建立专业管线信息系统。,无对应案由
马鞍山市城市地下管线建设管理办法第二十三条,地下管线综合管理信息系统和各专业管线信息系统应当按照统一的数据标准，实现信息的即时交换、共建共享、动态更新，并逐步与数字化城市、智慧城市等城市管理信息平台融合。,无对应案由
马鞍山市城市地下管线建设管理办法第二十四条,相关主管部门应当及时组织开展窨井设施和综合管廊的测量工作。测量成果应当及时录入系统。,无对应案由
马鞍山市城市地下管线建设管理办法第二十五条,地下管线建设工程竣工验收合格后十日内，应当按照规定和标准及时将地下管线竣工资料等报送住房和城乡建设部门。住房和城乡建设部门应当及时将验收合格的测量成果录入地下管线综合管理信息系统，并作为地下管线查询和管理的依据。,无对应案由
马鞍山市城市地下管线建设管理办法第二十六条,公民、法人或者其他组织需要查阅、利用地下管线信息的，应当遵守国家有关保密规定，并依法办理相关手续。,无对应案由
