fullClauseName,text,cause_of_action_1
马鞍山市城市建设档案管理办法第一条,为了加强城市建设档案（以下简称城建档案）管理，发挥城建档案在城市规划、建设、管理中的作用，根据《中华人民共和国档案法》《建设工程质量管理条例》《安徽省档案条例》等法律、法规，结合本市实际，制定本办法。,无对应案由
马鞍山市城市建设档案管理办法第二条,本办法适用于本市市区（含开发园区）内城建档案的形成、收集、整理、接收、保管、利用等活动及其监督管理。法律、法规另有规定的，适用其规定。本办法所称城建档案，是指在城市规划、建设及其管理活动中直接形成的对国家和社会具有保存价值的文字、图纸、图表、声像等各种载体的文件材料。,无对应案由
马鞍山市城市建设档案管理办法第三条,市城建档案管理实行统一领导、统一标准、集中管理的原则，维护城建档案完整与安全，便于社会各方面的利用。,无对应案由
马鞍山市城市建设档案管理办法第四条,市住房和城乡建设部门为城建档案管理工作的主管部门。市城建档案管理机构在主管部门的领导下，在同级档案管理部门业务上的监督、指导下，负责市区范围内的城建档案日常管理工作，并对各县城建档案工作进行指导和监督。,无对应案由
马鞍山市城市建设档案管理办法第五条,市城建档案管理机构建立城建档案管理制度，规范做好城建档案的接收、整理、保管、鉴定、统计、研究、利用等工作。,无对应案由
马鞍山市城市建设档案管理办法第六条,市城建档案管理机构负责接收、管理下列档案：（一）《城市建设档案管理规定》规定的各类城市建设工程档案；（二）符合规定的园林绿化、装饰装修工程档案；（三）国家、省、市规定的其他档案。,无对应案由
马鞍山市城市建设档案管理办法第七条,建设单位应当按照下列流程开展工程文件的整理、归档、验收、移交等工作：（一）在工程招标以及与勘察、设计、施工、监理等单位签订协议、合同时，应当明确竣工图的编制单位、工程档案的编制套数、编制费用以及承担单位、工程档案的质量要求和移交时间等内容；（二）收集和整理工程准备阶段形成的文件，并进行立卷归档；（三）组织、监督和检查勘察、设计、施工、监理等单位工程文件的形成、积累和立卷归档工作；（四）收集和汇总勘察、设计、施工、监理等单位立卷归档的工程档案；（五）收集和整理竣工验收文件，并进行立卷归档；（六）在组织工程竣工验收前，应当按照建设工程文件归档规范的要求，将全部文件材料收集齐全并完成工程档案的立卷；在组织竣工验收时，应当组织对工程档案进行验收，验收结论应当在工程竣工验收报告、专家组竣工验收意见中明确。勘察、设计、施工、监理等单位应当将本单位形成的工程文件立卷后向建设单位移交。工程文件归档质量应当符合建设工程文件归档规范的要求。,无对应案由
马鞍山市城市建设档案管理办法第八条,列入市城建档案管理机构档案接收范围的，市城建档案管理机构按照建设工程验收的有关规定对工程档案进行验收。市城建档案管理机构应当对建设单位的工程文件立卷归档工作，进行服务和指导，按照规范要求对移交的建设工程档案进行验收。重大建设项目的档案按照国家、省有关规定组织验收。,无对应案由
马鞍山市城市建设档案管理办法第九条,符合本办法规定的城建档案，应当在规定时限内移交市城建档案管理机构：（一）建设单位应当在工程项目竣工验收后三个月内移交；对改建、扩建和重要部位进行维修的，建设单位应当组织设计、施工单位据实修改、补充和完善原建设工程档案；结构和平面布置等改变的，应当重新编制工程档案，并在工程竣工验收后三个月内移交；（二）建设系统各专业管理部门形成的业务管理和业务技术档案，具有永久保存价值的，按照国家规定移交。有长期保存价值的档案，由市城建档案管理机构根据城市建设的需要选择接收；（三）城市地下管线普查和补测补绘形成的地下管线档案应当在普查、测绘结束后三个月内移交；地下管线专业管理单位每年应当报送更改、报废、漏测部分的管线现状图和资料。前款规定移交的城建档案，应当符合建设工程文件归档规范等要求。对于保管条件恶劣，可能导致不安全或严重损毁的档案，城建档案形成单位可以向市城建档案管理机构申请提前移交。,无对应案由
马鞍山市城市建设档案管理办法第十条,城建档案形成单位应当对其业务活动过程中形成的、具有保存价值的电子文件进行规范管理，按照电子档案管理要求，及时归档，并通过符合安全管理要求的网络或者存储介质，向市城建档案管理机构移交。除法律、法规另有规定外，对于加盖电子签章、具备法律效力、符合归档要求的电子文件，可以不移交相应纸质档案。,无对应案由
