fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
马鞍山市城市绿化管理办法第一条,为了发展城市绿化事业，改善城市生态环境，增进人民身心健康，推进生态文明建设，根据《城市绿化条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由,,
马鞍山市城市绿化管理办法第二条,本办法适用于本市城市规划区以及其他实行城市化管理的区域内种植和养护树木花草等城市绿化的规划、建设、保护和管理。古树名木的保护和管理，依照有关法律、法规的规定执行。,无对应案由,,
马鞍山市城市绿化管理办法第三条,市、县区人民政府应当将城市绿化建设纳入国民经济和社会发展规划，确定城市绿化目标，实行绿化目标责任制，保障城市公共绿化建设和管护所需经费。,无对应案由,,
马鞍山市城市绿化管理办法第四条,市绿化行政主管部门负责本市城市绿化管理工作，负责对县（区）绿化工作的指导、监督和考核。县（区）人民政府确定的绿化行政主管部门负责本行政区域内的城市绿化管理工作。开发园区管理机构按照市或者所在县（区）的绿化行政主管部门的要求，开展责任区域内有关的城市绿化管理工作。自然资源和规划、住房城乡建设、发展改革、交通运输、水利等部门，应当按照各自职责，做好城市绿化的相关工作。法律、法规规定由林业等部门和风景名胜区管理机构负责的绿化工作，依照有关法律、法规执行。,无对应案由,,
马鞍山市城市绿化管理办法第五条,市、县区人民政府应当组织、推动全民义务植树等群众性城市绿化活动。城市中的单位和有劳动能力的适龄公民应当按照有关规定，履行植树的义务。机关、企事业单位和有关社会团体应当加强绿化科学知识、法律法规和政策的宣传，增强市民履行绿化义务和保护绿化成果的意识。鼓励单位和个人以投资、捐资、认养等形式，参与绿化的建设和养护。鼓励社会组织和志愿者开展城市绿化服务工作，引导市民参与城市绿化保护活动。,无对应案由,,
马鞍山市城市绿化管理办法第六条,任何单位和个人对损坏城市绿化及其设施的行为，有权进行劝阻和举报。对在城市绿化工作中成绩显著的单位和个人，由人民政府按照有关规定给予表彰和奖励。,无对应案由,,
马鞍山市城市绿化管理办法第七条,市、县人民政府应当组织规划行政主管部门和绿化行政主管部门共同编制城市绿地系统规划，经依法批准后，向社会公布实施。城市绿地系统规划应当从城市实际出发，合理规划城市绿化用地面积和性质，并兼顾绿地的生态防护和防灾应急功能。城市绿地系统规划报批前应当组织专家论证，并广泛征求公众意见。,无对应案由,,
马鞍山市城市绿化管理办法第八条,规划行政主管部门应当会同绿化行政主管部门按照城市绿地系统规划，确定各类城市绿地范围的控制线（以下简称“城市绿线”），并向社会公布，接受公众监督。城市绿线不得随意调整。因城市建设需要调整城市绿线、减少规划绿地的，规划行政主管部门应当会同绿化行政主管部门规划落实新的绿化用地，经依法批准后及时向社会公布。下列区域城市绿线的调整，不得减少绿线范围内的绿地面积：（一）长江岸线滨水绿地、湿地；（二）重要的防护绿地；（三）其他对城市生态环境保护有重要意义，具有长期保护价值的绿地。,无对应案由,,
马鞍山市城市绿化管理办法第九条,城市各类工程建设项目应当安排附属绿化用地，其绿地率应当符合下列规定：（一）新建多层居住区绿地率不得低于百分之三十五，高层居住区绿地率不得低于百分之三十八；改造、扩建居住区绿地率不得低于百分之三十。（二）机关团体、学校、医院、休（疗）养院（所）、公共文化设施、部队等单位的绿地率不得低于百分之三十五。（三）其他工程建设项目的绿地率按照有关规定执行。,无对应案由,,
马鞍山市城市绿化管理办法第十条,规划行政主管部门在确定规划条件时，应当明确工程建设项目绿地率。,无对应案由,,
