fullClauseName,text,cause_of_action_1
马鞍山市建筑垃圾管理办法第一条,为加强建筑垃圾管理，维护城市市容和环境卫生，保护和改善生态环境，根据《中华人民共和国固体废物污染环境防治法》《安徽省城市市容和环境卫生管理条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由
马鞍山市建筑垃圾管理办法第二条,本办法适用于本市城市规划区（花山区、雨山区、马鞍山经济技术开发区、马鞍山慈湖高新技术产业开发区）范围内建筑垃圾的产生、收集、贮存、运输、利用、处置等活动。,无对应案由
马鞍山市建筑垃圾管理办法第三条,本办法所称建筑垃圾，包括工程类建筑垃圾和零星建筑垃圾。工程类建筑垃圾是指建设单位、施工单位新建、改建、扩建和拆除各类建筑物、构筑物、管网或市政工程等施工过程中所产生的弃土、弃料和其它废弃物。零星建筑垃圾，是指道路维修、市政养护、绿化等施工过程或者零星装修和装饰装修房屋过程中产生的弃土、弃料和其它废弃物。,无对应案由
马鞍山市建筑垃圾管理办法第四条,市、区人民政府（含开发园区管委会）应当加强对建筑垃圾管理工作的领导，及时研究解决建筑垃圾管理中的重大事项，建立建筑垃圾分类处理制度，推进建筑垃圾分类收集、分类存放、分类处理，推动建筑垃圾综合利用产品应用，并将建筑垃圾管理工作纳入城市管理综合考核。,无对应案由
马鞍山市建筑垃圾管理办法第五条,城市管理部门是建筑垃圾管理的主管部门。市城市管理部门负责城市规划区内建筑垃圾的管理、监督，核准工程类建筑垃圾处置，制定包括源头减量、分类处理、消纳设施和场所布局及建设等在内的建筑垃圾处置工作规划，推行新型环保智能建筑垃圾运输车及既有车辆更新，依法查处工程类建筑垃圾违法处置行为。花山区、雨山区、马鞍山经济技术开发区、马鞍山慈湖高新技术产业开发区城市管理部门（以下简称“区城市管理部门”）根据建筑垃圾处置工作规划负责本区域内建筑垃圾日常管理，核准零星建筑垃圾处置，加强建筑垃圾消纳（中转）场所日常监管，依法查处零星建筑垃圾违法处置行为。乡镇人民政府、街道办事处应当督促辖区内单位和个人做好建筑垃圾的防治工作，定期组织排查巡查，协助配合调查处理建筑垃圾处置违法行为。,无对应案由
马鞍山市建筑垃圾管理办法第六条,住房城乡建设部门是建筑垃圾资源化再利用主管部门，并负责开发企业、城市住房和建设行业的建筑垃圾源头减量等监管。生态环境部门负责督办建设单位依法办理环境影响评价等相关环保手续，建设项目环评中应有建筑垃圾及建筑施工扬尘防治的内容，配合相关单位进行事中、事后环境监管。自然资源和规划部门负责提供影像资料，配合城市管理部门加强对建筑垃圾消纳场所的监管。公安交警、交通运输、发展改革、经济和信息化、重点工程建设管理、财政等部门按照各自职责，共同做好建筑垃圾管理工作。,无对应案由
马鞍山市建筑垃圾管理办法第七条,建筑垃圾处置遵循减量化、资源化、无害化和谁产生、谁承担处置责任的原则。建设单位发包建设工程，应将建筑垃圾减量化措施费纳入工程概算，并监督设计、施工、监理单位具体落实。,无对应案由
马鞍山市建筑垃圾管理办法第八条,建筑垃圾处置实行收费制度，具体收费按有关规定执行。,无对应案由
马鞍山市建筑垃圾管理办法第九条,运输建筑垃圾的车辆应当采用密闭式工具运输，安装卫星定位系统、行驶及装卸记录仪和相应的建筑垃圾分类运输设备，并纳入建筑垃圾智能监管平台。运输工程类建筑垃圾，推广使用全密闭环保智能建筑垃圾运输车。,无对应案由
马鞍山市建筑垃圾管理办法第十条,实行建筑垃圾运输单位经营许可证制度。申请建筑垃圾运输单位经营许可证应当具备下列条件：（一）依法取得营业执照；（二）有相应的车辆停放场所；（三）依法取得道路运输经营许可证和车辆营运证；（四）具备一定数量符合本办法第九条规定的运输车辆；（五）具备健全的运输车辆运营和安全生产管理制度；（六）法律、法规、规章规定的其他条件。申请零星建筑垃圾运输单位经营许可证应当具备下列条件：（一）依法取得营业执照；（二）有符合本办法第九条规定的运输车辆；（三）法律、法规、规章规定的其他条件。市城市管理部门应当自受理之日起五个工作日作出是否准予许可的决定，不予许可的应当书面告知理由。,无对应案由
马鞍山市建筑垃圾管理办法第十一条,市城市管理部门应当向社会公布已获得行政许可的建筑垃圾运输经营者名录，并提供免费查询服务，接受社会监督。,无对应案由
马鞍山市建筑垃圾管理办法第十二条,实行建筑垃圾处置核准制度，建设单位、施工单位或者建筑垃圾运输单位应当向市城市管理部门或区城市管理部门申请建筑垃圾处置核准证。申请建筑垃圾处置核准证应当提供以下资料：（一）提交书面申请（包括建筑垃圾运输的时间、路线和处置地点名称等）；（二）具有建筑垃圾分类处置方案和对废混凝土、金属、木材等建筑垃圾回收利用的方案；（三）提供与消纳场所签订的建筑垃圾消纳处置合同；（四）与获得行政许可的建筑垃圾运输经营者签署运输协议；（五）法律、法规规定的其他资料。鼓励使用建筑垃圾进行资源化利用，使用建筑垃圾进行回填等资源化利用方式进行处置的，无需签订消纳场所处置协议。城市管理部门应当自受理之日起两个工作日内作出是否核准的决定，不予核准的应当书面告知理由。,无对应案由
马鞍山市建筑垃圾管理办法第十三条,任何单位和个人不得随意倾倒、抛撒、堆放、处置建筑垃圾，不得将建筑垃圾交给未取得建筑垃圾运输经营许可证、建筑垃圾处置核准证的经营者或个人运输。,无对应案由
马鞍山市建筑垃圾管理办法第十四条,任何单位和个人不得将建筑垃圾与生活垃圾、危险废物等进行混合存放、运输和处置。,无对应案由
