fullClauseName,text,cause_of_action_1
马鞍山市户外广告和招牌设置管理办法第一条,为了规范户外广告和招牌的设置管理，合理利用城市空间资源，美化城市景观环境，根据《中华人民共和国广告法》、国务院《城市市容和环境卫生管理条例》、《安徽省市容和环境卫生管理条例》等有关法律、法规，结合本市实际，制定本办法。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二条,本市城市规划区内户外广告和招牌的设置及其管理活动，适用本办法。户外广告发布内容的监督管理，依照《中华人民共和国广告法》和有关法律、法规的规定执行。,无对应案由
马鞍山市户外广告和招牌设置管理办法第三条,本办法所称户外广告设置，是指利用建（构）筑物、城市道路、公路、交通等设施和交通运输工具、升空器具以及其他户外载体，发布直接或者间接介绍商品、服务的商业广告或者公益广告的行为。本办法所称招牌设置，是指在办公地或者经营地建（构）筑物或者其设施上，设置用于表示名称、标识、字号的标牌、标志、灯箱、霓虹灯、字体符号等的行为。,无对应案由
马鞍山市户外广告和招牌设置管理办法第四条,设置户外广告和招牌，应当遵循统一规划、合理布局、安全规范、文明美观、环保节能的原则。,无对应案由
马鞍山市户外广告和招牌设置管理办法第五条,市城市管理委员会（以下简称市城管委）负责户外广告招标、拍卖方案的审定，研究决定户外广告设置和管理中的重大事项。市城市管理主管部门（以下简称市城管部门）是户外广告和招牌设置的主管部门，负责户外广告和招牌设置的规划、管理、监督和综合协调工作。市市场监管、自然资源和规划、住建、应急管理、财政等部门按照各自职责，做好户外广告和招牌设置监督管理的相关工作。,无对应案由
马鞍山市户外广告和招牌设置管理办法第六条,市城管部门应当加强对户外广告和招牌设置的诚信管理，建立诚信档案，并依法纳入社会信用体系。市城管部门应当建立户外广告和招牌设置投诉举报制度，公布投诉举报电话，及时调查处理投诉或者举报事项。市城管部门应当建立户外广告和招牌设置管理信息系统和执法公示制度，及时向社会公布相关信息，推动户外广告和招牌设置、日常监管和行政执法信息共享。,无对应案由
马鞍山市户外广告和招牌设置管理办法第七条,户外广告行业协会应当加强行业自律，规范行业管理，营造公平竞争、诚信经营的市场环境，配合相关部门做好户外广告和招牌设置的管理和服务工作。,无对应案由
马鞍山市户外广告和招牌设置管理办法第八条,户外广告设置规划包括专项规划和详细规划。户外广告设置专项规划由市城管部门会同自然资源和规划、住建、公安、交通运输等部门组织编制，报市人民政府批准后公布实施。户外广告设置专项规划应当符合城市总体规划和城市容貌标准，突出本市“生态福地、智造名城”的城市定位，彰显城市特色，并划定禁止设置区、控制区和集中展示区。户外广告设置详细规划由市城管部门根据户外广告设置专项规划组织编制，报市人民政府批准后公布实施。户外广告设置详细规划应当明确户外广告的设置地点、形式、规格、色彩等具体要求，并规划适量的公益广告点位。经批准公布实施的户外广告设置规划不得随意更改；确需更改的，应当报原批准机关同意。,无对应案由
马鞍山市户外广告和招牌设置管理办法第九条,户外广告和招牌设置技术规范由市城管部门根据户外广告设置规划和城市容貌标准组织制定，报市城管委审定后公布实施。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十条,编制户外广告设置规划、制定户外广告和招牌设置技术规范，应当采取座谈会、论证会、实地走访、听证会以及在政府网站等媒体发布草案等多种方式，听取有关单位、行业协会、相关专家和社会公众的意见和建议。市城管部门应当组织相关部门定期对设置规划和设置技术规范实施情况进行评估。经评估确需修改的，应当及时组织修改。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十一条,自然资源和规划部门审批新建、改建、扩建建筑外立面设计方案，涉及预留户外广告设置位置的，应当符合户外广告设置规划，并征求市城管部门意见。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十二条,设置户外广告和招牌，应当符合相应的户外广告设置规划、技术规范和招牌设置技术规范，与城市区域规划功能相适应，与建（构）筑物风格和周边环境相协调。户外广告和招牌设施应当牢固、安全，不影响建（构）筑物本身的功能及相邻建（构）筑物的通风、采光，不妨碍交通和消防安全。户外广告和招牌设施应当符合节能和环保要求。提倡户外广告和招牌设施采用新技术、新材料、新工艺。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十三条,有下列情形之一的，禁止设置商业性户外广告；符合户外广告设置规划的，可以设置少量公益性户外广告：（一）利用交通安全设施、交通标志、交通执勤岗设施；（二）利用道路、人行天桥、立交桥、高架轨道护栏及其隔声设施的；（三）利用行道树、透景围墙或者侵占、损毁绿地的；（四）利用各类亭棚、道闸的；（五）影响市政公共设施、交通安全设施、交通标志、防洪设施、消防设施、消防安全标志使用的；（六）危及建筑物安全或者利用违法建（构）筑物、危险房屋的；（七）利用建筑物顶部，或者改变建筑物风格、结构、色彩等损害建筑物形象的；（八）妨碍生产或者人民生活，损害市容市貌的；（九）在学校、国家机关、风景名胜区、文物保护单位等的建筑控制地带内，或者在市人民政府禁止设置的区域设置的；（十）法律、法规禁止设置的其他情形。禁止在沿街建筑立面采用悬挂布幔或者张贴、喷绘、涂写等方式设置户外广告；在户外广告设置规划禁止的路段，不得设置大型立柱式户外广告。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十四条,设置大型户外广告或者在城市建（构）筑物和设施上悬挂、张贴宣传品等，应当经市城管部门批准。大型户外广告的标准，由市城管部门依法确定并向社会公布。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十五条,申请设置大型户外广告，应当提供下列材料：（一）户外广告设置申请书；（二）有关身份证明资料；（三）载体使用权证明；（四）现状图，设施设计图纸及效果图；（五）利用已有设施设置户外广告的，还应当提供设计单位或者安全鉴定机构出具的安全证明；（六）法律、法规规定的其他材料。前款所列材料，市城管部门能够通过政务数据共享获得的，不得要求申请人另行提供。市城管部门应当对申请人提交的申请材料进行审查，联合自然资源和规划、住建、公安、交运、市场监管等相关部门共同办理，在五个工作日内作出是否许可的决定。不予许可的，应当书面说明理由。设置大型户外广告还需要履行其他审批手续的，应当按照相关法律、法规的规定办理。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十六条,设置户外广告设施，应当在九十日内按照批准的户外广告设施设计方案实施，不得擅自变更。户外广告设施竣工后，设置人应当在验收合格后十日内向市城管部门备案。鼓励户外广告设置人为户外广告设施投保安全责任保险。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十七条,利用政府投资、融资建设的公共场地（所）、建（构）筑物、设施等公共载体设置经营性户外广告的，应当通过招标、拍卖等公平竞争方式取得户外广告设置权。招标、拍卖等方案经市城管委审定后，由市城管部门委托市公共资源交易中心依照有关规定实施。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十八条,公开竞价底价应当综合经营性户外广告泊位的地段位置、期限、数量、面积等因素，经评估后依法确定。下一期竞价底价应当参考该广告泊位上一期成交价确定。经营性户外广告泊位使用权的出让收入，全额上缴市财政，统筹用于市政公共设施建设、城市管理以及公益广告等方面的支出。,无对应案由
马鞍山市户外广告和招牌设置管理办法第十九条,鼓励和引导自有场地、建（构）筑物以及其他设施等非公共载体权利人通过拍卖、招标方式出让符合户外广告设置规划的户外广告载体使用权。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十条,利用机动车等交通工具外部设置的户外广告，应当符合户外广告设置技术规范，不得影响安全驾驶和市容观瞻。车头、车尾部挡风玻璃及车身两侧车窗、车顶部严禁设置各种形式的户外广告。利用公共汽车车体设置户外广告的，不得遮挡车窗、车门、线路指示标志及对车身颜色全部遮盖，不得影响乘客识别和乘坐。利用公共交通候车站台、站牌等设施设置户外广告的，应当在指定的广告栏内设置。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十一条,举办全市性重要会展、重大活动期间，经批准在不影响市容市貌、交通安全的条件下可以临时在活动场地周边以及部分路段设置灯杆旗、实物造型等临时性大型户外广告。建设工程在项目施工期间，可以在建设项目用地红线范围内按相关规范要求利用施工围墙设置用于企业自身宣传的临时性户外广告。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十二条,电子显示牌（屏）设置期限不得超过六年，其他户外广告设置期限不得超过三年。按照本办法规定，通过公开竞争方式取得使用权的户外广告，其设置期限与使用权期限相同，但最长不得超过六年。重要会展、重大活动设置的临时户外广告，设置期限不得超过活动截止日期。在建工程项目设置的围挡广告，设置期限不得超过该项目建设期。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十三条,户外广告设置人应当遵循《公益广告促进和管理暂行办法》等公益广告管理规定发布公益广告，履行公益广告备案义务。各类户外广告设置人均有义务发布公益广告。市城管部门发布广告设施招标、拍卖计划时，应当将发布不少于百分之三十的公益广告作为前提条件。公益户外广告专用设施不得发布商业广告。其他户外广告设施空置时间超过十五日的，应当按照市城管部门的要求发布公益广告。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十四条,依法设置的户外广告，任何单位和个人不得占用、拆除、遮盖或者损毁。因城市规划、建设等公共利益需要确需拆除的，市城管部门应当提前十五日书面通知设置人限期拆除，并依法给予相应补偿。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十五条,户外广告的所有者和管理者是户外广告设施日常维护和安全管理的责任主体，应当履行以下责任：（一）保持户外广告设施的整洁、完好，对陈旧、破损等影响市容景观或者安全的户外广告设施及时进行更新或者修复；（二）保证照明设施的正常运行，并按照有关规定开启照明设施；（三）定期对户外广告设施进行安全检查，及时排除安全隐患，隐患排除期间须设置警示标志，并有人现场值守，防止事故发生；（四）遇有大风、暴雨、雷电或者其他恶劣天气时，应当对户外广告设施及时采取加固、断电等安全防护措施；（五）以金属结构为主体、涉及公共安全的户外广告设施，设置满两年的，应当每年进行安全检测，并自检测报告出具之日起十五日内向市城管部门提交检测报告；检测不合格的，应当立即进行整改或者拆除；（六）户外广告设施达到设计使用年限的，应当予以更新；（七）法律、法规规定的其他责任。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十六条,户外广告许可设置期满，需要继续设置的，设置人应当在许可设置期满前三十日按照本办法的规定重新办理审批手续；未批准继续设置的，设置人应当自许可设置期满之日起十五日内自行拆除。临时性户外广告许可设置期满，设置人应当自许可设置期满之日起三日内自行拆除。,无对应案由
马鞍山市户外广告和招牌设置管理办法第二十七条,招牌设置的监督管理，由区城管部门、马鞍山经济技术开发区城管机构、慈湖国家高新技术产业开发区城管机构（以下统称区城管部门）负责。,无对应案由
