fullClauseName,text,cause_of_action_1
马鞍山市机动车停车场管理办法第一条,为了加强机动车停车场的规划、建设，规范停车场使用和管理，改善交通状况，根据《中华人民共和国城乡规划法》《中华人民共和国道路交通安全法》等法律法规，结合本市实际，制定本办法。,无对应案由
马鞍山市机动车停车场管理办法第二条,本办法适用于本市市辖区范围内机动车停车场的规划、建设、使用和管理。道路旅客运输、危险货物运输及公共汽车停车场管理不适用本办法。,无对应案由
马鞍山市机动车停车场管理办法第三条,本办法所称机动车停车场（以下简称停车场）是指供机动车停放的各类场所，包括公共停车场、专用停车场和道路停车泊位。公共停车场，是指道路红线以外，向社会开放，为公众提供停车服务的场所，包括独立建设和配套建设的公共停车场以及临时停车场。专用停车场，是指为本单位或本居住区业主提供停放机动车的场所。道路停车泊位是指在城市道路范围内依法施划、供公众停放机动车的场所。,无对应案由
马鞍山市机动车停车场管理办法第四条,停车场的规划、建设、使用和管理遵循科学规划、政府引导、市场运作、综合施策、智慧管理的原则，满足公众的停车需求。,无对应案由
马鞍山市机动车停车场管理办法第五条,市人民政府负责停车场工作的统一领导，成立市停车场管理工作综合协调机构，制定扶持停车产业发展政策等。区人民政府负责本区域内停车场的建设和管理工作。街道办事处、乡镇人民政府应当配合有关部门做好本辖区内的停车场日常管理工作，指导居（村）民委员会、业主委员会做好辖区内停车场日常管理。居（村）民委员会、业主委员会应当督促物业服务企业加强居（村）民区、居住小区停车场日常管理。,无对应案由
马鞍山市机动车停车场管理办法第六条,市城市管理部门是停车场管理的行政主管部门，负责统筹全市公共停车场的规划、建设、使用、管理和监督工作。区城市管理部门负责本区域内停车场的使用、管理及监督工作。市自然资源和规划部门负责全市停车场项目的规划审批和用地管理工作。市住房城乡建设部门负责停车场建设的监督管理，指导、监督区物业管理部门做好住宅小区专用停车场的使用和管理。市公安机关交通管理部门负责道路停车泊位设置和管理等工作，依法查处违法停车行为。市发展改革、财政（国有资产监管）、交通运输、人民防空、应急管理、生态环境、税务、市场监管等部门按照各自职责，做好停车场管理相关工作。,无对应案由
马鞍山市机动车停车场管理办法第七条,鼓励成立停车场行业协会。停车场行业协会应当加强行业自律，规范从业行为，开展专业培训提高服务质量，协助有关部门做好停车场管理工作。,无对应案由
马鞍山市机动车停车场管理办法第八条,规划建设停车场，应当以建筑物配建停车场为主，独立建设公共停车场为辅，道路停车泊位为补充。停车场的规划、建设和停车泊位的建设，应当符合国家相关标准和技术规范。,无对应案由
马鞍山市机动车停车场管理办法第九条,市城市管理部门应当根据国土空间总体规划和城市建设发展需要，会同自然资源和规划、公安机关交通管理、住房城乡建设、交通运输、人民防空、生态环境等部门以及区人民政府，依法编制停车场专项规划和停车设施建设标准，报市人民政府批准后公布实施。停车场专项规划应当纳入控制性详细规划，作为停车场建设和管理的依据。,无对应案由
马鞍山市机动车停车场管理办法第十条,国有土地使用权出让前，自然资源和规划部门应当根据停车场专项规划、停车设施建设标准和区域功能要求，明确建设项目配建停车场的各项要求。,无对应案由
马鞍山市机动车停车场管理办法第十一条,市城市管理部门应当根据停车场专项规划，制定全市独立建设的公共停车场建设计划，报市人民政府批准后公布实施。,无对应案由
马鞍山市机动车停车场管理办法第十二条,按照“谁投资、谁管理、谁受益”的原则，鼓励社会资本参与投资建设公共停车场。独立建设的公共停车场在不改变用地性质、不减少停车泊位的前提下，可以按照不超过总建筑面积的20%配套建设附属商业设施，但不得单独处分。独立建设的公共停车场，应当按照基本工程建设程序办理相关手续。,无对应案由
马鞍山市机动车停车场管理办法第十三条,新建、改建、扩建建筑物的，自然资源和规划部门核发《建设工程规划许可证》时，应当征求城市管理部门和公安机关交通管理部门的意见。建设单位应当按照《建设工程规划许可证》的规定和相关技术规范配建、增建停车场，并与主体工程同步设计、同步建设、同步验收、同步交付使用。鼓励新建建筑物超过停车设施配建标准增建停车场或停车泊位。,无对应案由
马鞍山市机动车停车场管理办法第十四条,投入使用的停车场，不得擅自改作他用。确需改作他用的，应当报原审批机关批准，并向社会公布。,无对应案由
马鞍山市机动车停车场管理办法第十五条,新建、增建的停车场（含专用停车场）应当按照规定配建充电设施或者预留建设安装条件。鼓励现有住宅小区通过技术改造，配建电动汽车专用车位和充电设施。停车场应当按照规定设置无障碍停车泊位。,无对应案由
马鞍山市机动车停车场管理办法第十六条,鼓励机关、企事业单位以及其他土地使用权人利用建设用地的边角空地、零星地块、闲置空地、空闲厂区等场地依法设置临时公共停车场。设置临时公共停车场不得妨碍消防设施和市政基础设施正常使用，不得影响道路交通安全，不得损害他人合法利益。,无对应案由
马鞍山市机动车停车场管理办法第十七条,土地使用权人可以利用建筑退让红线范围内，向公众开放的公共区域依法设置公共停车场，但应当提前征求城市管理部门、自然资源和规划等部门的意见。,无对应案由
马鞍山市机动车停车场管理办法第十八条,公安机关交通管理部门在不影响行人、车辆通行的情况下，根据道路通行状况和区域停车需求，按照相关规定设置道路停车泊位，并及时向社会公告。其他任何单位和个人不得设置或者撤除道路停车泊位，不得损坏道路停车泊位的设施、设备。,无对应案由
马鞍山市机动车停车场管理办法第十九条,公安机关交通管理部门应当定期会同城市管理部门对已设置的道路停车泊位进行评估、调整。有下列情形之一的，应当撤除道路停车泊位，并及时向社会公告：（一）道路交通状况发生变化，设置的道路停车泊位影响行人、车辆正常通行的；（二）周边环境发生变化，设置的道路停车泊位使用率过低；（三）城市基础设施建设或其他公共项目建设需要的；（四）法律、法规、规章规定的其他情形。撤除道路停车泊位，应当及时清除停车标识标线，恢复原状。,无对应案由
马鞍山市机动车停车场管理办法第二十条,政府投资建设的公共停车场和道路停车泊位，实行政府指导价，可以依法委托第三方运营管理。非政府投资建设的公共停车场，实行市场调节价，坚持市场化运作，促进停车产业发展。,无对应案由
马鞍山市机动车停车场管理办法第二十一条,向公众提供停车服务并收取费用的停车场经营管理者，应当在停车场投入使用后的十五日内，向市城市管理部门办理备案手续，并提供下列材料：（一）经营管理者基本信息；（二）土地使用权证明材料；（三）交通组织图、停车场平面图；（四）停车场竣工验收及消防验收（备案）合格证明；（五）停车泊位数量、开放服务时间、收费方式和标准、服务和投诉电话等；（六）停车场经营、服务、安全等管理制度；（七）法律、法规、规章规定的其他材料。上述事项发生变更的，应从变更之日起十五日内办理变更备案。,无对应案由
马鞍山市机动车停车场管理办法第二十二条,公共停车场停业、歇业的，经营管理者应当在停业、歇业十五日前向城市管理部门报告，并向社会公告。,无对应案由
马鞍山市机动车停车场管理办法第二十三条,鼓励专用停车场在满足自身停车需求的前提下，错时向公众开放停车服务。,无对应案由
马鞍山市机动车停车场管理办法第二十五条,在停车场停放车辆应当遵守下列规定：（一）遵守停车场管理制度，服从工作人员指挥；（二）按照车位标识、标线等有序停放车辆，禁止在人行道、人行通道、停车场出入口停放车辆；（三）禁止停放装有易燃、易爆、有毒、有害等危险物品或其他违禁物品的车辆；（四）按照标准支付车辆停放服务费用；（五）不得占用无障碍停车位，非新能源汽车不得占用新能源汽车专用车位。,无对应案由
马鞍山市机动车停车场管理办法第二十六条,市城市管理部门建立全市统一的智慧停车信息管理系统，收集、管理全市停车场信息，实时无偿向公众公布公共停车场分布位置、泊位数量、使用状况、收费标准等信息。,无对应案由
马鞍山市机动车停车场管理办法第二十七条,停车场向社会提供停车服务并收取费用的，其经营管理者应当将停车场实时信息接入全市统一的智慧停车信息管理系统，推进智慧停车，提高停车设施利用率。鼓励专用停车场接入全市统一的智慧停车信息管理系统。,无对应案由
马鞍山市机动车停车场管理办法第二十八条,市城市管理部门应当会同发展改革、自然资源和规划、公安机关交通管理、市场监管等部门建立停车场联合执法机制，定期组织对停车场的规划、建设、使用、管理等情况进行监督检查，建立执法和案件移送制度，及时发现、查处违法行为。,无对应案由
马鞍山市机动车停车场管理办法第二十九条,市城市管理部门应当指导停车场经营管理者制定停车场运营服务规范等制度，加强对停车场的监督管理。,无对应案由
马鞍山市机动车停车场管理办法第三十条,违反本办法第十四条规定，擅自将停车场改做他用的，由城市管理部门责令限期改正；逾期未改正的，处二千元以上一万元以下罚款。,无对应案由
马鞍山市机动车停车场管理办法第三十一条,违反本办法第十八条第二款规定，擅自设置或者撤除道路停车泊位的，由城市管理部门责令限期改正，逾期未改正的，按照停车泊位的数量，每个泊位处以五百元罚款。,无对应案由
马鞍山市机动车停车场管理办法第三十二条,违反办法第二十一条规定，未向市城市管理部门办理备案手续的，由城市管理部门责令限期改正；逾期未改正的，处一千元以上五千元以下罚款。,无对应案由
马鞍山市机动车停车场管理办法第三十三条,违反本办法第二十七条第一款规定，停车场经营管理者未将停车场实时信息接入全市统一的智慧停车信息管理系统的，由城市管理部门责令限期改正；逾期未改正的，处二千元以上一万元以下罚款。,无对应案由
马鞍山市机动车停车场管理办法第三十四条,本市所辖各县停车场管理可参照本办法执行。,无对应案由
马鞍山市机动车停车场管理办法第三十五条,本办法自2023年3月1日起实施。,无对应案由
马鞍山市机动车停车场管理办法第二十四条,除向居民提供停车服务的居住区停车场外，收取停车服务费的停车场经营管理者应当遵守下列规定：（一）在停车场出入口显著位置设置明码标价公示牌，公示收费主体、收费标准、服务及投诉电话等信息；（二）按照有关规定和标准配套建设停车场出入口自动道闸、车位监测、停车诱导等智能化停车设施设备；（三）按照规范设置交通标志、标线，配置照明、消防、排水、通风等设施，并定期维护保养，确保正常使用；（四）配备相应的管理人员，维护车辆停放秩序；（五）按核定或者公示的价格收费，并出具合法票据；（六）法律、法规、规章的其他规定。,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 停车服务合同纠纷
