fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
马鞍山市集体土地征收补偿安置办法第一条,为了规范本市集体土地征收和补偿安置行为，维护被征地农村集体经济组织、农民以及其他权利人的合法权益，根据《中华人民共和国土地管理法》《中华人民共和国土地管理法实施条例》《安徽省实施〈中华人民共和国土地管理法〉办法》等法律、法规，结合本市实际，制定本办法。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二条,本办法适用于花山区、雨山区、马鞍山经济技术开发区（不含当涂县托管范围）、马鞍山慈湖高新技术产业开发区范围内集体土地及地上房屋等附着物的征收补偿和安置。博望区参照本办法制定集体土地征收补偿安置办法，报市政府批准后执行。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第四条,市政府统一领导全市集体土地征收补偿安置工作，研究、决定集体土地征收补偿安置工作中的重大事项。市自然资源和规划部门为集体土地征收补偿安置工作的主管部门，负责集体土地征收审查和监督管理。市土地征迁安置管理机构负责集体土地征收管理事务性工作，根据用地批复和成片开发方案编制年度土地征收计划，对全市集体土地征收工作进行指导、协调，负责土地征收批后监管。市财政部门负责被征地农民社会保障资金的归集和市级重点工程土地征收补偿安置的资金保障。市人力资源和社会保障部门负责被征地农民社会保障工作的监督指导。市农业农村部门负责农村集体经济组织成员身份认定、土地承包经营权合同的变更和解除等工作的监督指导。市教育、公安、民政、住房和城乡建设、审计和城市管理等部门按照各自职责，做好土地征收补偿安置相关工作。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第五条,集体土地征收补偿安置实行属地管理。花山区人民政府、雨山区人民政府为征地主体，负责组织实施辖区内集体土地征收补偿安置工作。马鞍山经济技术开发区管委会、马鞍山慈湖高新技术产业开发区管委会受所在地区人民政府委托，负责组织实施管理区域集体土地征收补偿安置工作。征地主体负责辖区内补偿安置的审核，建立联席保障会议工作机制，研究解决复杂疑难问题，规范使用补偿安置费用。包括：（一）发布征收土地预公告；（二）开展拟征收土地现状调查和社会稳定风险评估；（三）拟定、发布征地补偿安置方案公告；（四）签订或者委托签订补偿安置协议；（五）发布征收土地公告；（六）测算和落实补偿、补助等费用；（七）化解矛盾纠纷；（八）其他事务。征地主体确定的乡镇人民政府（街道办事处）或者征收机构（以下简称征地实施机构）是辖区内集体土地征收补偿安置工作的实施单位，负责现状调查、补偿登记、补偿协商、补偿安置协议签订、农业人员安置、住房安置审批及征收信息平台录入等工作。村民委员会、村民小组配合做好土地征收补偿安置等工作。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第六条,征收土地程序，土地补偿费、安置补助费具体分配办法等，执行法律、法规和省政府规章的相关规定。政策性移民初始迁入地的农业人员在被征地村组未落实承包地的，按本村组土地现状调查时确认的人均耕地计算出分配标准，相关费用纳入征地成本，另行支付。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第七条,青苗补偿费按一季农作物的产值乘以征地时实际种植面积计算，未种植的不予补偿。擅自改变用途使用的，按原用途计算。地上附着物和青苗等补偿标准由市人民政府另行制定。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第八条,经依法许可的养殖、种植，征地主体调查确认后，可以评估补偿。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第九条,经林业主管部门同意，征收集体所有的林地，参照所在地的区片综合地价执行。征收国有林场的林地、农用地和未利用地，参照所在地的区片综合地价、地上附着物和青苗等补偿标准执行，跨多个区片的，按所跨区片中的最高标准执行。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十一条,迁移坟墓的，应当公告，迁移补偿费用由征地实施机构会同民政部门核定。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十二条,征收合法住宅按重置价结合成新予以补偿。办理权属登记的，按载明的建筑面积认定。无不动产权属登记证明的，其补偿面积由征地主体依法调查认定，并公示不少于5日。,无对应案由,,,
